sku_id,sku_name,category,current_stock,safety_stock,daily_demand,lead_time_days,unit_cost,supplier_id,status
SKU001,A4复印纸,办公用品,50,200,30.5,7,25.0,SUP001,紧急
SKU002,A3复印纸,办公用品,180,150,12.0,7,35.0,SUP001,预警
SKU003,签字笔(黑),办公用品,500,300,45.0,5,3.5,SUP002,正常
SKU004,文件夹,办公用品,120,100,8.0,7,12.0,SUP002,正常
SKU005,订书机,办公用品,85,80,5.0,10,28.0,SUP002,正常
SKU006,芯片X3-100,电子元器件,20,150,18.0,14,120.0,SUP003,紧急
SKU007,芯片X5-200,电子元器件,80,120,10.0,14,85.0,SUP003,预警
SKU008,电阻10K,电子元器件,2000,1500,120.0,10,0.5,SUP004,正常
SKU009,电容100uF,电子元器件,800,600,50.0,10,1.2,SUP004,预警
SKU010,LED灯珠白,电子元器件,300,400,35.0,7,2.0,SUP004,紧急
SKU011,PCB板A型,电子元器件,45,100,8.0,14,45.0,SUP003,紧急
SKU012,纸箱50cm,包装材料,150,300,40.0,5,8.0,SUP005,预警
SKU013,纸箱30cm,包装材料,400,250,25.0,5,5.5,SUP005,正常
SKU014,气泡膜,包装材料,60,200,22.0,5,3.0,SUP005,紧急
SKU015,封箱胶带,包装材料,350,200,18.0,5,4.0,SUP006,正常
SKU016,标签纸,包装材料,90,150,15.0,7,6.0,SUP006,预警
SKU017,缠绕膜,包装材料,25,180,20.0,5,12.0,SUP005,紧急
SKU018,螺丝M4x10,五金配件,5000,3000,200.0,7,0.1,SUP007,正常
SKU019,螺母M4,五金配件,3000,2000,150.0,7,0.08,SUP007,正常
SKU020,弹簧垫片M4,五金配件,1500,1000,80.0,7,0.05,SUP007,预警
SKU021,铝合金型材1m,五金配件,30,80,6.0,10,55.0,SUP008,紧急
SKU022,不锈钢板1mm,五金配件,100,120,8.0,14,180.0,SUP008,预警
SKU023,铜线0.5mm,五金配件,200,150,12.0,10,35.0,SUP008,正常
SKU024,润滑油,化工原料,40,100,7.0,10,45.0,SUP009,紧急
SKU025,清洗剂,化工原料,80,80,5.0,7,28.0,SUP009,正常
SKU026,胶水502,化工原料,15,60,4.0,7,8.0,SUP009,紧急
SKU027,防锈剂,化工原料,55,70,4.5,10,32.0,SUP009,预警
SKU028,包装带,包装材料,280,200,15.0,5,3.5,SUP006,正常
SKU029,热缩管,电子元器件,600,400,30.0,7,1.5,SUP004,正常
SKU030,连接器USB-C,电子元器件,35,100,9.0,14,15.0,SUP003,紧急
